no,name,date,time1,time2,body
11,A7SaYcm0O,2008-07-17,21:43:40,.24,>>1元気出して
12,Sof5iHnto,2008-07-17,21:58:55,.35,"そんなわけで俺は親父と正直上手く行ってなかった。だからちょっと中学の時とかグレたし、母親に心配もかけちまった。
でもそんな時も親父は俺に関わろうとしなかった。いつも庭師の仕事を終えて帰ってきて、仕事着を洗濯機に入れてシャワーを浴びて、晩酌しながらテレビを見て寝る。それの繰り返しだ。
俺は親父の仕事を全然知らなかったんだよな。"
13,Sof5iHnto,2008-07-17,22:05:43,.73,"んでまぁ、俺も高校生になってさ、俺は結構親が歳いってからの子供だったから、その頃には親父もガタがきてるっていうか、調子を崩し始めててさ。ある日、庭仕事中に脚立から落ちて大怪我しちまったんだよ。
その時は正直思ったよね、「ざまぁねぇな」って。俺に向かって庭師の子供かって聞いておきながら、庭師のお前も落ちて怪我してんじゃねぇかって。んで入院したって聞いてさ。これはちょっとした復讐のチャンスだと思ってさ。
病院に行って言ってやろうと思ったんだよ「お前本当に庭師か？」ってね。"
14,F1OMGbe0o,2008-07-17,23:15:12,.98,どうした？
15,f7riD3YVQ,2008-07-18,0:15:14,.83,更新止まっちゃった？
16,nlj89smGO,2008-07-18,0:18:14,.95,風呂入ってんじゃね
17,Sof5iHnto,2008-07-18,1:30:24,.14,"ごめん、疲れて寝ちゃってたみたい、明日も早いからまた続きは明日書いてもいいかな。
自分から書き始めといて申し訳ないんだけど。"
18,SMLMQu6LO,2008-07-18,1:31:11,.43,おｋ
19,rD9Mm7V8O,2008-07-18,1:32:01,.13,>>1の話聞きたいから保守しながら待ってるよ
20,ChR9qo37O,2008-07-18,7:15:28,.55,age
21,UmoxRq8m0,2008-07-18,9:18:24,.87,お前ら朝飯何食った
22,ERlIHYjF0,2008-07-18,9:23:25,.86,ハムエッグとサンマの塩焼き、味噌汁とご飯、あとキャベツのサラダかな
23,nvDL7Wc4Q,2008-07-18,10:00:02,.10,朝からめっちゃ食っててワロタ
24,pENaWCOUQ,2008-07-18,14:00:56,.78,>>25ゴキゲンな朝食食ってんじゃねーよ
25,FPf6fsnco,2008-07-18,16:53:47,.55,まだ仕事中だけど早く続きが読みたいぜ！
26,Sof5iHnto,2008-07-18,21:54:34,.72,"みんな待っててくれてありがとう、ようやく仕事終わらせられたから続き書いてくよ
ある程度仕事の隙間で内容まとめたから、今日中に書きたいことは全部かけると思う。"
27,7oSqEUHU0,2008-07-18,21:56:23,.33,おかえり～
28,qLuVvC6So,2008-07-18,21:56:56,.45,仕事しろｗ
29,i6RkVSyCO,2008-07-18,22:02:12,.68,仕事の隙間ワロタ、>>1は何してる人なんだ？
30,pGgW0LH4Q,2008-07-18,22:02:45,.29,>>29 庭師だっつってんだろ、スレタイ読んでねぇのか
31,zwuo3ECiO,2008-07-18,22:15:01,.95,はよ
32,Sof5iHnto,2008-07-18,22:16:14,.96,"えーと、昨日は父親が入院したところまでだったよな。
それで、俺は親父に悪態でもついてやろうと思って病院に向かったわけよ。それで、入院してるっていう部屋聞いてさ、扉開けようとしたらさ。なんか泣き声が聞こえてくんの。
最初母親かと思ったんだけど、なんか男の声なんだよ。一体なんだと思って扉を開けたらさ、どうだろ、40くらいのおっさんがさ、親父のベッドに覆い被さりながらオイオイ泣いてるわけよ。"
33,Sof5iHnto,2008-07-18,22:17:43,.63,"俺びっくりしちゃってさ。お前らも想像してみろよ、絶対びっくりするぞ、そんな現場に居合わせたら。
で流石に固まってたら、親父が俺に気づいたみたいで、ちょっと目線を向けて。でそれでそのおっさんも気づいて俺を見るなりすげー勢いでこっち向かってきてさ。俺初めて見たぞ、スライディング土下座ってやつ。
すげー土下座しながら、俺に謝ってんのよ。俺もうわけわかんねーじゃん。なだめながらよくよく話を聞いてみるとさ、どうやらおっさんは親父の弟子？みたいな人で、おっさんが仕事中にバランス崩したのを親父がかばって、結果怪我したらしいんだよな。"
34,Sof5iHnto,2008-07-18,22:19:23,.44,"んで、その話と合わせていかに自分が親父に世話になってるか、親父のおかげでまともに仕事やってられるかとかすげー勢いでまくし立てられてさ。面食らっちゃったわけよ。俺は俺に対して冷たくてぶっきらぼうな親父しか知らなくてさ、まさか親父がそんな誰かに尊敬されるような立場だと思ってなかったからさ。
おっさんがそんな話を俺にしてる間、親父はずっと窓の外を見てて、表情は見えなかったんだけど。
遅れて母親もやってきて、おっさんと母親は顔なじみだったらしいからおっさんも少しずつ落ち着いてきてさ。"
35,Vs9rGGTfo,2008-07-18,22:23:14,.18,おっさんカワユス
36,MRbNmTfbO,2008-07-18,22:24:12,.44,スライディング土下座って本当にする人いるんだ。
37,Sof5iHnto,2008-07-18,22:25:21,.89,"落ち着いたあたりで親父が一言、俺はもういいから帰れって言ってさ。
まぁみんなで帰ったわけなんだけど、帰り道でもずっとおっさんは親父のことを褒めてるわけ。仕事もすごい、人格もできてる、って。
そこまで言われるとちょっと気になってくるじゃん。俺の知らない親父がそこにはいるわけでさ。
ちょっと親父の事が知りたくなったわけよ、不思議だよな、小さい頃言われた言葉はずっと胸に引っかかってんのに。
んで、家に帰って母親に親父のこと聞いてみたわけ。そしたら押入れから分厚いアルバムを出してきてさ。"
38,Sof5iHnto,2008-07-18,22:26:31,.85,ごめん、書き溜めなくなっちゃったからゆっくりになる
39,bfijdiVl0,2008-07-18,22:30:21,.47,いいよ
40,HseAN0aaQ,2008-07-18,22:32:31,.18,投稿早くて助かる
41,EYoWNrKxo,2008-07-18,22:43:21,.53,親父、なんで>>1には厳しかったんだろうな
42,hSifsd8fQ,2008-07-18,22:45:36,.89,アルバムの中身きになる
43,Sof5iHnto,2008-07-18,22:50:31,.36,"で、そのアルバムを開いたらさ。知らん人たちと親父が一緒に写ってる写真がたくさん出てきてさ。しかもみんな違う人なわけよ。
どういうことか聞いたらさ、これみんな親父が庭整えた家の人たちだっていうんだよ。親父の仕事はすごい評判が良かったらしくて、みんなからすげー感謝されるんだって。確かに写真に写ってる人らみんな笑顔なんだよな。仕事が終わったら、こうやって写真を撮るのが親父のルーチンだったらしいんだよ。写真の中の親父はさ、やっぱり優しい顔ではないんだけど、でも俺と向き合う時よりも穏やかな顔しててさ。"
44,zGYB7JAqQ,2008-07-18,22:51:12,.30,なんでその顔を息子に向けられなかったのか
45,BDUpKBtjQ,2008-07-18,22:52:31,.78,親父さん、良い仕事してたんだな
46,1mbzN1LGo,2008-07-18,22:55:21,.13,>>1の親父さんが笑顔でいろんな人と写真撮りまくってるところ想像したらちょっとワロタ
47,OH9A4JRJO,2008-07-18,22:56:23,.69,俺も庭師になったら人から感謝されるかな
44,Sof5iHnto,2008-07-18,23:01:12,.75,"でも、その写真見てたら別のことでムカついてきちゃってさ。
じゃあなんで俺にはその顔を向けてくれなかったんだよって。親父は怪我した時に背骨を痛めてて、正直容体は良くなかったんだけど、わりかし調子が良い日があったからさ、その日に思い切って聞いてみたわけ、なんで俺にはあんな態度を取ってたのかって。写真の中の親父は違ってたって。
そしたら親父、今まで見たことないような難しい顔をしてさ。なんだろう、悲しみというか、そういう感情も含んでたような顔だった。
絞り出すように話し始めたんだよ。"
45,Sof5iHnto,2008-07-18,23:15:23,.98,"「お前と向き合ってこなかったことは悪かったとずっと思っていた、お前がそれで悲しんでいたことももちろん知ってた」
「でも、それでも自分には庭師という仕事しかなかった、それだけが人生だった」
「庭を整えるというのは木々やその空間と心を通わせて、その声を聞くことだ」
「それはとても体力や精神力を使う仕事で、だからこそやりがいがあった」
「でも、その一方で自分は疲れ切った体で家のことを見る余裕を持てていなかった、だからお前にも上手に接する事ができなかった」
「木々を、自然を整えるという仕事は本当に美しい仕事だ、自分はそれに誇りを持っているし、それでたくさんの人を笑顔にしてきたことも誇りだ」
「それが自分にとっての美しさの全てだった、その代わりにお前をないがしろにしてしまった、すまない」"
46,Sof5iHnto,2008-07-18,23:23:21,.10,"なんか、気が抜けちまったっていうかさ。親父も一人の人間で、誰もに上手く接することはできなくて、それがたまたま俺で。
それは悲しいけど、でもそれくらい親父を引きつけた庭師という仕事にも興味が出てきたりとか、俺にもいろんな心の動きがあってさ。
結局それから少しして親父は死んだよ。脊髄をやってたのが良くなかったんだろうな。親父が死ぬ前に最後に俺に言った言葉、なんだと思う？「庭は本当に美しい」って。死ぬ瞬間まで庭のことしか考えてねぇの、信じられねぇよな。
俺にの胸元に、愛用の剪定ばさみを押し付けてさ、「美しいんだ、本当に、すまん」って。
その瞬間、きっと俺も魅入られたんだろうな、その美しさに。"
47,Sof5iHnto,2008-07-18,23:30:37,.98,高校を出た俺は庭師の修行に入ったよ、もちろん師匠はスライディング土下座のおっさんだ。
48,ixSzwa3Po,2008-07-18,23:31:13,.92,おっさんｷﾀ――(ﾟ∀ﾟ)――!!
49,pfJnTPEHO,2008-07-18,23:32:31,.32,おっさん！おっさん！
50,n5PDQe1T0,2008-07-18,23:32:45,.10,おっさんの人気に嫉妬
51,6UhLyDweQ,2008-07-18,23:33:31,.88,おっさんスレかここ？
52,Sof5iHnto,2008-07-23,23:43:32,.25,"そうすることで親父の事がちょっとわかるかもと思ったのかもな。修行は大変だったけど、その話は書くと長くなるからやめておこうかな。
俺もようやく自分で仕事をやれるようになった手応えがあってさ、おっさんも後押ししてくれてさ、独立を考え始めたんだ。
っていう話を今日は親父の墓の前でしてきてさ。明日初めての一人仕事だよ、俺は庭師になるよ。"
54,Sof5iHnto,2008-07-18,23:46:33,.36,"これで俺が話したかったことは全部、夜遅くまで付き合ってくれてありがとう、お前ら
明日早いから寝るわ、本当ありがとうな"
55,9Tw4IVSo0,2008-07-18,23:46:01,.57,感動した
56,sOAKmO7eo,2008-07-18,23:48:31,.21,お前は庭師だよ
57,QQeQOOLZQ,2008-07-18,23:48:21,.98,なんかPCの画面が曇って見えねぇや、、、なんでだ？
58,6QvZi11ZQ,2008-07-18,23:49:45,.62,（　；A；） 
59,2zGoR1nW0,2008-07-18,23:51:33,.17,>>1のこと応援してるし、ちょっと庭師っていいなって思ったわ
60,t0joRvDrQ,2008-07-18,23:53:22,.38,>>1は早く布団入って明日に備えてくれ、大事な日じゃないか
61,U6hVxiRVQ,2008-07-18,23:58:31,.55,久しぶりにいい話を読んだな
62,QyJtYzUVQ,2008-07-20,0:03:31,.31,こういうのがあるから真chanも捨てたもんじゃないな
63,exDBRqHNO,2008-07-20,2:34:31,.41,さすがにもう寝たかな
64,oBWny1h4O,2008-07-20,2:36:31,.89,寝てないとやばいだろ、大事な仕事だぞ
65,exDBRqHNO,2008-07-20,2:43:31,.86,お前も早く寝ろ
66,oBWny1h4O,2008-07-20,2:48:34,.72,俺はニートだから
67,lc0zySiZo,2008-07-20,4:42:23,.89,朝日だ
68,XaxweIQio,2008-07-20,7:31:33,.47,今日もいい1日になるといいな
69,UYNLjPY5Q,2008-07-20,13:31:34,.99,昼飯
70,8Jc9hjo70,2008-07-20,20:31:33,.88,今更見たがなんだこのあったかいスレは…
71,4QCyiCLdQ,2008-07-20,23:23:33,.46,一応保守しとくか
72,hdOUn9GD0,2008-07-21,3:33:33,.33,怪しげな画像が貼られる
73,xBJJ1jMZQ,2008-07-21,3:34:45,.41,なにこれ？
74,FNmCJfwz0,2008-07-21,3:36:34,.55,どっかの場所か？
75,hAH2Ab5X0,2008-07-21,3:37:31,.55,>>1？
76,VIeiJw0Co,2008-07-21,3:38:31,.48,ご苦労様です
77,vd8yyFtSo,2008-07-21,3:39:23,.11,は？
78,8TJlMPNno,2008-07-21,3:39:35,.59,なんで？
79,gOdOPt5P0,2008-07-21,3:40:01,.56,ふざけんなよ
80,d2EJdjnJQ,2008-07-21,3:40:12,.14,カスが
81,p3w2MwzCo,2008-07-21,3:40:23,.69,は？は？は？は？はは？は？？？？？？？？？
82,AAyuV56y0,2008-07-21,3:40:46,.38,死ねよ
83,gCDinc6ao,2008-07-21,3:40:59,.23,何で生きてんの？
84,T4Ur09rCQ,2008-07-21,3:41:12,.50,包丁なかったっけ
85,AkfDEhY00,2008-07-21,3:41:25,.12,しねしねしねしねしねしね
86,lp198AS90,2008-07-21,3:41:38,.72,頃す
87,eIL9VmWUo,2008-07-21,3:41:51,.67,何が楽しくて生きてんだ？
88,SAQ1X30oQ,2008-07-21,3:42:04,.17,埃でも食っとけよ
89,70B8ENbFo,2008-07-21,3:42:17,.46,家燃やすぞ
90,XhsKfBkP0,2008-07-21,3:42:30,.79,風呂入れよ、雑巾
91,TsX3Vb4Ko,2008-07-21,3:42:43,.74,親が無能
92,mSAN7KesQ,2008-07-21,3:42:56,.68,ﾀﾋね
93,V96DspunO,2008-07-21,3:43:09,.18,一生一人でやってろや
94,okCoPLIFO,2008-07-21,3:43:22,.21,許さないからな
95,Z9tOu93oQ,2008-07-21,3:43:35,.39,天国や地獄に行けると思うな
96,cBUqKpajo,2008-07-21,3:43:48,.47,虫以下
97,cdZKV5GuO,2008-07-21,3:44:01,.52,ゴキブリ
98,wOjN2J2ao,2008-07-21,3:44:14,.15,もういいよお前
99,MDfHsniho,2008-07-21,3:44:27,.41,ダボがよ
100,tX5RhtvL0,2008-07-21,3:44:40,.34,ヴォ；え
101,0P329ZLH0,2008-07-21,3:44:53,.19,荒らしやめろ
102,OqdcXjWzO,2008-07-21,3:45:06,.55,なんのために生きてんだお前？
103,U3I1EdWmQ,2008-07-21,3:45:19,.43,あああ
104,h1NsOTBpO,2008-07-21,3:45:32,.49,は？は？は？は？はは？は？？？？？？？？？
105,fJGK2622Q,2008-07-21,3:45:45,.85,はぁ
106,jN3D4GPq0,2008-07-21,3:45:58,.49,ﾀﾋ
107,i0ZUp23fQ,2008-07-21,3:46:11,.11,ネットなんてやめろ
108,TomlEuHbQ,2008-07-21,3:46:24,.77,ﾀﾋね
109,KU4HSfu2Q,2008-07-21,3:46:37,.79,写真には写せない汚なさがあるわ
110,PdSv0XblO,2008-07-21,3:46:50,.20,は？は？は？は？はは？は？？？？？？？？？
111,xKjttr9Bo,2008-07-21,3:47:03,.95,は？は？は？は？はは？は？？？？？？？？？
112,34d5cBvpO,2008-07-21,3:47:16,.38,は？は？は？は？はは？は？？？？？？？？？
113,J4UBmlijO,2008-07-21,3:47:29,.65,カスカス
,,,,,
957,vwDVSD9m0,2008-07-22,1:24:16,.31,一生一人でやってろや
958,IecSVDeYQ,2008-07-22,1:24:17,.58,ﾀﾋね
959,N9aSHnrPQ,2008-07-22,1:24:18,.76,一生一人でやってろや
960,I83QmZCH0,2008-07-22,1:24:19,.85,許さないからな
961,oANZDBNEQ,2008-07-22,1:24:20,.52,親が無能
962,FhKNGFgMo,2008-07-22,1:24:21,.65,ふざけんなよ
963,9stebx50O,2008-07-22,1:24:22,.65,ごみごみごみ
964,VMPNQ17fo,2008-07-22,1:24:23,.87,首吊っとけ
965,bbjyRaZvo,2008-07-22,1:24:24,.79,死ねよ
966,MAMgBxG0Q,2008-07-22,1:24:25,.63,何で生きてんの？
967,UgId5n18O,2008-07-22,1:24:26,.27,ごみごみごみごみごみごみごみ
968,qcMwEJN3O,2008-07-22,1:24:27,.34,許さないからな
969,TCvNSrv2O,2008-07-22,1:24:28,.11,あdsrvっsだあああああああああ？W>D?W???
970,NNau0mTZ0,2008-07-22,1:24:28,.19,は？は？は？は？はは？は？？？？？？？？？
971,XzbwWlWJQ,2008-07-22,1:24:30,.86,爪でも噛んどけ
972,XjKIYQJ0Q,2008-07-22,1:24:31,.21,息すんなよ
973,XaffCho7O,2008-07-22,1:24:32,.96,許さないからな
974,vU4meamZo,2008-07-22,1:24:33,.75,聞く価値ねぇわ
975,URzEh4aL0,2008-07-22,1:24:34,.74,足の爪剥がすぞ
976,tieQzIRfO,2008-07-22,1:24:35,.35,なんで？なんで？
977,LFIbyHE8Q,2008-07-22,1:24:36,.21,あああああああああああああああああああああああああ
978,gwOfKPflo,2008-07-22,1:24:37,.80,許さないからな
979,BKHhSQnc0,2008-07-22,1:24:37,.73,枯れとけさっさと
980,YHigZhWqO,2008-07-22,1:24:37,.56,誰かの首をしめたい
981,niea3taLO,2008-07-22,1:24:38,.63,クソが
982,T5IdzeBSo,2008-07-22,1:24:40,.40,お前もうやめたら？
983,6YE36nHb0,2008-07-22,1:24:42,.69,カスカスカスカスカスカスカスカスカスカスカスカスカスカスカスカスカスカスカスカスカスカスカスカス
984,n3Dm4oyfO,2008-07-22,1:24:43,.47,生きるな
985,DDqTXVV4O,2008-07-22,1:24:44,.32,ふざけんなよ
986,LAqmMAsBO,2008-07-22,1:24:45,.19,ふざけんなよ
987,Pz2uFE360,2008-07-22,1:24:46,.39,俺の人生めちゃくちゃにしやがって
988,NyV6FnBeQ,2008-07-22,1:24:47,.90,もういいよお前もういいよお前もういいよお前もういいよお前もういいよお前もういいよお前
989,m0Ifk3qVO,2008-07-22,1:24:48,.57,お前だよお前、お前だ！！！！！
990,5slwvdsC0,2008-07-22,1:24:48,.29,ああああ
991,UhtcvhKcO,2008-07-22,1:24:50,.87,scsjbsvzs？：Dzb.fdnvcaseffbfb
992,Y6uSEKSQ0,2008-07-22,1:24:50,.29,djっb
993,W2UFwVqCO,2008-07-22,1:24:50,.66,bゔぉ
994,xDm6Voxi0,2008-07-22,1:24:53,.54,なんで生きてんだ？
995,Sof5iHnto,2008-07-22,1:24:54,.75,おい
996,Sof5iHnto,2008-07-22,1:24:55,.68,きけよ
997,Sof5iHnto,2008-07-22,1:24:56,.17,ああああああああああああ
998,Sof5iHnto,2008-07-22,1:24:57,.10,いない方がマシだわ
999,Sof5iHnto,2008-07-22,1:24:58,.12,ああああああああああああああああああああああああああああああああ
1000,Sof5iHnto,2008-07-22,1:24:59,.95,お前らマジカスだわ、全員死ね
1001,J55QAS1RO,2008-07-22,1:25:00,.33,"　　(ヽ_/)　　　　　このスレッドは１０００を超えたよ。
　　(,,・_･)　　　　　もう書けないから新しいスレッドを立てようね。
　　/っ日~―‐-.､
　 (´　　　　　　　 )　　　　　
　　[i＝=====＝i]　　　　　"
