no,name,date,time1,time2,body
240,b9Wz0jV2Q,2008-07-21,1:16:21,.41,もっと遊べるところがあればなー
241,xMMybqspo,2008-07-21,1:32:35,.14,ガキが多いのがな
242,GwSh7aWLQ,2008-07-21,1:43:25,.41,お前だって昔はガキだったんだぞ
243,C7Y15KvSO,2008-07-21,1:52:23,.86,二郎もあるしな
244,Kx1Nrqe60,2008-07-21,1:59:31,.34,閉店したの6年も前だろ
245,C7Y15KvSO,2008-07-21,2:05:01,.53,>>244マジ？ちょっと変わってて好きだったんだけどな
246,oDd9ROLs0,2008-07-21,2:36:31,.19,オタクはすぐ二郎行くよな
247,C7Y15KvSO,2008-07-21,2:38:46,.22,好きな二郎の話しようぜ
248,nHzSsDZlQ,2008-07-21,2:50:31,.24,二郎スレ行けks
249,cQvXXdzko,2008-07-21,3:10:12,.18,町田の話しようぜ！
250,Wq5ee1ja0,2008-07-21,3:23:03,.54,もうないだろ
251,dPzWAP9XO,2008-07-21,3:33:33,.58,怪しげな画像が貼られる
252,1bcXtYRAQ,2008-07-21,3:33:41,.61,？
253,EueKpBxG0,2008-07-21,3:37:42,.49,どっかの写真か？
254,p60unBNp0,2008-07-21,3:43:24,.20,不気味じゃね
255,emRDykas0,2008-07-21,3:45:31,.80,>>251 今撮ってきたやつ？これ
256,oHoC0fSeo,2008-07-21,3:48:51,.36,これ町田じゃん、俺んち近いわ
257,JmpICk0iO,2008-07-21,3:51:12,.78,くれー写真だな
258,pIKqBFAn0,2008-07-21,4:03:04,.44,>>256 出会い厨フラグ
259,MPyz9wgyQ,2008-07-21,4:12:32,.47,あーあそこねあそこ
260,8yN2i7vzo,2008-07-21,4:12:33,.60,ご苦労様です
261,kwb2RxweO,2008-07-21,4:13:45,.39,お前もうやめたら？
262,wMLh3Hlc0,2008-07-21,4:13:51,.22,カスカスカスカスカスカスカスカスカスカスカスカスカスカスカスカ
263,uQCeilJ20,2008-07-21,4:13:57,.92,生きるな
264,opNo7k02Q,2008-07-21,4:14:03,.66,ふざけんなよ
265,U89DiPDe0,2008-07-21,4:14:09,.44,許さないからな
266,V9NzB5vzQ,2008-07-21,4:14:15,.26,天国や地獄に行けると思うな
267,v9mDOW6iO,2008-07-21,4:14:21,.76,虫以下
268,ClhuJfTY0,2008-07-21,4:14:27,.25,ストローで飲む時いつも噛んでるよな
269,SwHSCOSvQ,2008-07-21,4:14:33,.22,hagehagehage
270,i5QQ3DVs0,2008-07-21,4:14:39,.90,お兄ちゃんには夢がないよね
271,UGUdfoj7O,2008-07-21,4:14:45,.55,宇宙で一番無価値
272,wWEEjDQso,2008-07-21,4:14:51,.55,砂食っとけ
273,9rCvW1hGo,2008-07-21,4:14:57,.52,ご苦労様です
274,XHkHwyQ80,2008-07-21,4:15:03,.16,は？
275,o8TRNFjOQ,2008-07-21,4:15:09,.78,なんで？
276,kW7MpFIBQ,2008-07-21,4:15:15,.86,ふざけんなよ
277,ZCTSSVS5o,2008-07-21,4:15:21,.41,カスが
278,dwo1az5zo,2008-07-21,4:15:27,.69,家燃やすぞ
279,jysezPKx0,2008-07-21,4:15:33,.16,消し炭
280,nUfSIfTO0,2008-07-21,4:15:39,.89,親が無能
281,4ESlUkG9Q,2008-07-21,4:15:45,.64,磔になっとけ
282,4oGu4ntRO,2008-07-21,4:15:51,.76,風呂入れよ、雑巾
283,Khuk6x1Wo,2008-07-21,4:15:57,.24,天国や地獄に行けると思うな
284,OdKygsOAo,2008-07-21,4:16:03,.99,丸刈りにしろ
285,PXA10SKaQ,2008-07-21,4:16:09,.29,一生一人でやってろや
286,6ydprav40,2008-07-21,4:16:15,.56,許さないからな
287,8a2lZHqYo,2008-07-21,4:16:21,.31,ダボがよ
288,DkqXwpNk0,2008-07-21,4:16:27,.43,ヴォ；え
289,18hHuZzhQ,2008-07-21,4:16:33,.75,荒らしやめろ
290,x2uBYFkhQ,2008-07-21,4:16:39,.42,なんのために生きてんだお前？
291,LX3H1tO2o,2008-07-21,4:16:45,.20,あああ
292,YgCX8c6BO,2008-07-21,4:16:51,.40,korosukorosukoruskorosukorosukorosukorosukorosukorosu
293,zxnZ6RHIo,2008-07-21,4:16:57,.44,裁きの日は近い
,,,,,
966,5TVx5Zz20,2008-07-22,1:24:25,.81,朽ち果てろ
967,CumFAn3iQ,2008-07-22,1:24:26,.13,イナゴ
968,5Vh5DGV80,2008-07-22,1:24:27,.33,身の程を知れ
969,Ed0gPLzYQ,2008-07-22,1:24:28,.35,きしょい
970,3i7eo4Ru0,2008-07-22,1:24:29,.35,死後裁きに合う
971,ZPqEw8e5Q,2008-07-22,1:24:30,.64,俺の人生めちゃくちゃにしやがって
972,ty4b6otz0,2008-07-22,1:24:31,.32,もういいよお前もういいよお前もういいよお前もういいよお前もういいよお前もういいよお前
973,O3hEbCpj0,2008-07-22,1:24:32,.35,お前だよお前、お前だ！！！！！
974,UYISA2N8Q,2008-07-22,1:24:33,.75,ああああ
975,8Ev2q6qSo,2008-07-22,1:24:34,.12,許さないからな
976,Rhr9emod0,2008-07-22,1:24:35,.91,枯れとけさっさと
977,p7ILfPCc0,2008-07-22,1:24:36,.24,誰かの首をしめたい
978,9Cva00jCQ,2008-07-22,1:24:37,.22,クソが
979,Q1YF7m3dO,2008-07-22,1:24:38,.48,お前もうやめたら？
980,rfEBUPzcQ,2008-07-22,1:24:39,.62,お前が社会でやっていけてるのだとすれば、B-29を竹槍で落とそうとするのも無駄ではないんだろうな
981,71lhzJeNQ,2008-07-22,1:24:40,.69,ふざけんなよ
982,8jN2Kg5z0,2008-07-22,1:24:41,.58,ごみごみごみ
983,LHVZEa3So,2008-07-22,1:24:42,.53,首吊っとけ
984,rplbnx6GQ,2008-07-22,1:24:43,.98,死ねよ
985,VUwlNL2B0,2008-07-22,1:24:44,.58,何で生きてんの？
986,WiBim21MQ,2008-07-22,1:24:45,.37,ごみごみごみごみごみごみごみ
987,QYUMARRaQ,2008-07-22,1:24:46,.99,許さないからな
988,7lKlZGRbo,2008-07-22,1:24:47,.58,あdsrvっsだあああああああああ？W>D?W???
989,HtJnZqMN0,2008-07-22,1:24:48,.11,は？は？は？は？はは？は？？？？？？？？？
990,z2ZvNvWA0,2008-07-22,1:24:49,.54,爪でも噛んどけ
991,7KT6qWMkQ,2008-07-22,1:24:50,.42,息すんなよ
992,4odjk4l5Q,2008-07-22,1:24:51,.58,包丁なかったっけ
993,58J6iuqUo,2008-07-22,1:24:52,.91,しねしねしねしねしねしね
994,knP9AavDQ,2008-07-22,1:24:53,.81,頃す
995,AOytpmplO,2008-07-22,1:24:54,.16,何が楽しくて生きてんだ？
996,I67pvsGto,2008-07-22,1:24:55,.95,埃でも食っとけよ
997,xsY0PAUDO,2008-07-22,1:24:56,.99,sghんxdfvSDg
998,uaJ1gisLO,2008-07-22,1:24:57,.79,いますぐしね
999,wsHryfuWQ,2008-07-22,1:24:58,.63,なんでしなない
1000,9LOBFm6dQ,2008-07-22,1:24:59,.85,もう全部無理だわ、
1001,J55QAS1RO,2008-07-22,1:25:00,.14,"　　(ヽ_/)　　　　　このスレッドは１０００を超えたよ。
　　(,,・_･)　　　　　もう書けないから新しいスレッドを立てようね。
　　/っ日~―‐-.､
　 (´　　　　　　　 )　　　　　
　　[i＝=====＝i]　　　　　"
